epoch,distance_km_mid,p_co_cluster,ci_low,ci_high,n_pairs
Alpha,44.077,0.01895667046750285,0.016018880492291387,0.022420961227214077,7016
Alpha,71.5715,0.010735826296743065,0.008732947924494475,0.01319194632475186,8290
Alpha,116.21600000000001,0.012308914036132618,0.00961411178525572,0.015747050128659606,5037
Alpha,188.70850000000002,0.0027643400138217,0.001582043160208476,0.0048259234731435905,4341
Alpha,306.4205,0.0,0.0,0.008674885105644998,439
Alpha,497.5585,0.01904761904761905,0.005239072265250375,0.06680691015323666,105
Alpha,807.924,0.0,0.0,0.7934567085261071,1
Delta,0.21300000000000002,0.0,0.0,0.6576280471103807,2
Delta,0.346,0.0,0.0,0.2425007574992425,12
Delta,0.5615,0.0,0.0,0.12064720365810762,28
Delta,0.9119999999999999,0.015873015873015872,0.0028074219075510873,0.0845872544616561,63
Delta,1.4809999999999999,0.031578947368421054,0.010796943829702532,0.08877246823970955,95
Delta,2.4045,0.0365296803652968,0.01862407328502234,0.07041495712940656,219
Delta,3.9045,0.013422818791946308,0.006165844834968662,0.028971995151403494,447
Delta,6.3405000000000005,0.029227557411273485,0.02029771233258893,0.04191793731284124,958
Delta,10.2955,0.01996476805637111,0.014321718026849497,0.02776865520989373,1703
Delta,16.717,0.015034836817015035,0.011102123786666682,0.02033199527758077,2727
Delta,27.1445,0.015557683101962662,0.012225464726554707,0.01977995604308898,4178
Delta,44.077,0.016483516483516484,0.013706456813964672,0.019811932813954165,6734
Delta,71.5715,0.01349527665317139,0.01137734904991112,0.016001081659170996,9633
Delta,116.21600000000001,0.014908822079842288,0.012492372466769442,0.017784277264919907,8116
Delta,188.70850000000002,0.006971677559912854,0.0052626110748495965,0.009230623898066604,6885
Delta,306.4205,0.003720238095238095,0.0015900549245156828,0.008679401070906922,1344
Delta,497.5585,0.0029498525073746312,0.0005208979238408486,0.016517874500509053,339
Omicron BA.1,0.21300000000000002,0.0,0.0,0.5615060804490177,3
Omicron BA.1,0.346,0.3333333333333333,0.0614903152761605,0.7923450448735121,3
Omicron BA.1,0.5615,0.0,0.0,0.2425007574992425,12
Omicron BA.1,0.9119999999999999,0.0,0.0,0.20388926630434784,15
Omicron BA.1,1.4809999999999999,0.034482758620689655,0.006113056614032261,0.1717589106470025,29
Omicron BA.1,2.4045,0.02857142857142857,0.007870446893806289,0.09832443512391814,70
Omicron BA.1,3.9045,0.043795620437956206,0.020223886822615784,0.09225424463854343,137
Omicron BA.1,6.3405000000000005,0.048109965635738834,0.02887109263171002,0.07912452264103305,291
Omicron BA.1,10.2955,0.05434782608695652,0.038331062801821525,0.07652468027318401,552
Omicron BA.1,16.717,0.03002309468822171,0.020569520854656402,0.04362791463244837,866
Omicron BA.1,27.1445,0.036036036036036036,0.02758541885478128,0.046950452936574454,1443
Omicron BA.1,44.077,0.03330373001776199,0.02665150503891231,0.041545481841726836,2252
Omicron BA.1,71.5715,0.03517110266159696,0.029288355444642585,0.042184087984167284,3156
Omicron BA.1,116.21600000000001,0.03177501826150475,0.025832883154855487,0.03902921537045686,2738
Omicron BA.1,188.70850000000002,0.025686764181234393,0.020447412187416462,0.03222445928548746,2803
Omicron BA.1,306.4205,0.014760147601476014,0.007497663783670111,0.02885280858780176,542
Omicron BA.1,497.5585,0.023809523809523808,0.006553765293517748,0.0827160112132854,84
Omicron BA.2+,0.346,0.0,2.7755575615628914e-17,0.2588400172488141,11
Omicron BA.2+,0.5615,0.0,0.0,0.1071827150573635,32
Omicron BA.2+,0.9119999999999999,0.0,0.0,0.05202487486728348,70
Omicron BA.2+,1.4809999999999999,0.006666666666666667,0.0011777710231334546,0.036793752933975674,150
Omicron BA.2+,2.4045,0.013937282229965157,0.005432842173204774,0.03528210369423647,287
Omicron BA.2+,3.9045,0.010670731707317074,0.0051782526882044235,0.021860963996527184,656
Omicron BA.2+,6.3405000000000005,0.010180109631949883,0.005958835864732791,0.01733959541669967,1277
Omicron BA.2+,10.2955,0.0073563218390804595,0.004533137229584112,0.01191670474148896,2175
Omicron BA.2+,16.717,0.0056,0.0036657084421763526,0.008546208011623936,3750
Omicron BA.2+,27.1445,0.00416602376176516,0.0028647822809479426,0.006054726254156447,6481
Omicron BA.2+,44.077,0.003481042431084768,0.002526638765883594,0.004794226429738242,10629
Omicron BA.2+,71.5715,0.0028594517312115373,0.00214458655874858,0.0038116960511057115,16087
Omicron BA.2+,116.21600000000001,0.003175479773574486,0.0023816881919271524,0.004232711236704283,14486
Omicron BA.2+,188.70850000000002,0.003287310979618672,0.0024578212863240355,0.004395511479900325,13689
Omicron BA.2+,306.4205,0.002938295788442703,0.0015466195401523156,0.0055752350740540385,3063
Omicron BA.2+,497.5585,0.0035026269702276708,0.0009610526412718147,0.01268027046408451,571
Omicron BA.2+,807.924,0.0,0.0,0.3244156195108769,8
